H,label,cond,target,split,delta_rmse,delta_per_seed,delta_ensemble,delta_blockeq,delta_cap100,n_cells,n_blocks,block_majority,n_splits,delta_split_mean,delta_split_sd,family,family_tag
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Lena,0,-1.7058439904393694,-1.7058439904393694,-1.7060867593669222,0.15630345451305772,-0.9976772490002878,1496,11,0.5454545454545454,3,-1.680349224253619,0.28466341509641213,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Lena,1,-2.0155420695252992,-2.0155420695252992,-2.0159908499502706,-0.5987967559924362,-1.4833847841625871,1478,11,0.6363636363636364,3,-1.680349224253619,0.28466341509641213,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Lena,2,-1.3196616127961889,-1.3196616127961889,-1.319706924509493,-1.0997821022309928,-1.4247398845535646,1687,5,0.8,3,-1.680349224253619,0.28466341509641213,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Canada,0,-9.835889127253804,-9.835889127253804,-9.85428860410192,-2.0790410442651592,-9.236435208809032,374,19,0.5263157894736842,3,-7.089533933869824,3.851704346174097,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Canada,1,-9.790247526119222,-9.790247526119222,-9.809780286031497,-7.105537830991455,-9.247946721300172,393,20,0.65,3,-7.089533933869824,3.851704346174097,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Canada,2,-1.6424651482364456,-1.6424651482364456,-1.6217516249283825,-1.8192721667462795,-1.987643241956082,385,12,0.75,3,-7.089533933869824,3.851704346174097,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Russia_W,0,-4.431231949540852,-4.431231949540852,-4.432430117173482,-4.84663006555681,-4.431231949540852,12,8,0.75,3,-4.353005319296481,0.7232747764856085,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Russia_W,1,-5.1971247306914465,-5.1971247306914465,-5.200333328395459,-4.589385593294097,-5.1971247306914465,12,7,1.0,3,-4.353005319296481,0.7232747764856085,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Russia_W,2,-3.430659277657147,-3.430659277657147,-3.436762692043203,-3.926951039057748,-3.430659277657147,17,12,0.9166666666666666,3,-4.353005319296481,0.7232747764856085,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Russia_C,0,-7.427463908810121,-7.427463908810121,-7.413836816266539,-6.2779591878255205,-7.427463908810121,3,3,1.0,3,-4.713468490331822,3.8218123941308217,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Russia_C,1,-7.40431546873288,-7.40431546873288,-7.4147009525123195,-3.741263776912774,-7.40431546873288,3,2,0.5,3,-4.713468490331822,3.8218123941308217,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Russia_C,2,0.6913739065475349,0.6913739065475349,0.6898992368447665,0.8734608862376755,0.6913739065475349,4,3,0.3333333333333333,3,-4.713468490331822,3.8218123941308217,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Russia_E,0,-3.553838082597269,-3.553838082597269,-3.5645158650011197,-2.0350699289766347,-3.553838082597269,12,9,0.7777777777777778,3,-3.310129879908446,0.613142636476449,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Russia_E,1,-2.4676020847506877,-2.4676020847506877,-2.4718198577839843,-1.6079192560639761,-2.4676020847506877,14,10,0.7,3,-3.310129879908446,0.613142636476449,exploratory,augment_direct
H3,"covonly: Stefan 유사라벨 − const (직접 catboost_lo, r=10)",covonly,Russia_E,2,-3.908949472377382,-3.908949472377382,-3.910606544437897,-2.2832089540246283,-3.908949472377382,11,8,0.75,3,-3.310129879908446,0.613142636476449,exploratory,augment_direct
